what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1333498670649
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1333498670650
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1333498670651
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1333498670651
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1333498670652
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1333498670652
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1333498670653
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1333498670654
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1333498670664
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1333498670666
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1333498670667
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1333498670668
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1333498670669
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1333498670671
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1333498670672
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1333498670672
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1333498670674
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1333498670674
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1333498670675
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1333498670676
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1333498670677
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333498670682
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333498670699
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333498670706
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1333498670707
os,sysinfo,,,"win32",1333498670711
arch,sysinfo,,,"x86_64",1333498670711
ws,sysinfo,,,"win32",1333498670711
locale,sysinfo,,,"en_CA",1333498670711
processors,sysinfo,,,"2",1333498670712
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333498670712
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1333498670712
java.specification.name,sysinfo,,,"Java Platform API Specification",1333498670712
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333498670712
java.specification.version,sysinfo,,,"1.6",1333498670712
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333498670712
java.version,sysinfo,,,"1.6.0_23",1333498670712
java.vm.info,sysinfo,,,"mixed mode",1333498670712
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333498670712
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333498670712
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333498670712
java.vm.specification.version,sysinfo,,,"1.0",1333498670712
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333498670712
java.vm.version,sysinfo,,,"19.0-b09",1333498670712
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1333498670794
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1333498670949
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333498671348
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1333498671692
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1333498671840
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1333498671870
